Center Name,Legal Name,Building,Street,Borough,ZipCode,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Health Code Sub Section,Violation Status,Inspection Summary Result
CHRIST THE KING COMMUNITY DAY CARE INFANT/TODDLER PROGRAM,"CHRIST THE KING CONTINUING EDUCATION, INC.",68-02,METROPOLITAN AVENUE,QUEENS,11379,718-417-6770,5867,06/29/2023,Permitted,0 YEARS - 2 YEARS,62,DC1166,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,4089211,www.ctkny.org,06/28/2004,N,16.6667,17.4391,16,8.4034,0,4.9984,16.6667,15.3835,06/03/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
JUST KIDS EARLY CHILDHOOD LEARNING CENTER,JUST KIDS EARLY CHILDHOOD LEARNING CENTER,264,BEACH   19 STREET,QUEENS,11691,718-868-2961,104543,07/31/2024,Permitted,2 YEARS - 5 YEARS,123,DC37308,PRESCHOOL,GDC,Child Care - Pre School,4299362,justkidsschool.com,07/31/2018,Y,0.0000,21.9050,37,11.9769,0,6.1285,0,18.9541,01/04/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
PS OF THE ARTS,Chabad of Gramercy Park,207-211,Thompson  Street,MANHATTAN,10012,212-201-9212,104710,01/11/2025,Permitted,2 YEARS - 5 YEARS,55,DC37037,PRESCHOOL,GDC,Child Care - Pre School,1008680,,01/11/2019,Y,16.6667,21.9050,6,11.9769,16.6667,6.1285,16.6667,18.9541,01/12/2023,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,CRITICAL,47.37(b)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"LITTLE SCHOLARS EARLY DEVELOPMENT CENTER, LLC","LITTLE SCHOLARS EARLY DEVELOPMENT CENTER, LLC",1770,DAVIDSON AVENUE,BRONX,10453,347-789-3091,96537,09/08/2023,Permitted,2 YEARS - 5 YEARS,89,DC32641,PRESCHOOL,GDC,Child Care - Pre School,2008369,,09/08/2015,Y,20.0000,21.9050,12,11.9769,0,6.1285,20,18.9541,09/28/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,159,BROADWAY,STATEN ISLAND,10310,917-426-0300,23557,09/29/2022,Expired-In Renewal,2 YEARS - 5 YEARS,176,DC24740,PRESCHOOL,GDC,Child Care - Pre School,5004830,www.childrensaidsociety.org,09/29/2012,Y,25.0000,21.9050,35,11.9769,0,6.1285,25,18.9541,12/14/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED","JEWISH COMMUNITY CENTER OF STATEN ISLAND,INCORPORATED",1297,ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5224,5224,09/10/2024,Permitted,,94,DC1464,PRESCHOOL,GDC,Child Care - Pre School,5077603,www.sijcc.org,09/10/2004,N,20.0000,21.9050,10,11.9769,0,6.1285,20,18.9541,09/15/2020,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,CRITICAL,47.37(b)(1),CORRECTED,Initial Annual Inspection - Reinspection Not Required
RICHARD H. MANGUM EARLY LEARNING CENTER,HIGHBRIDGE ADVISORY COUNCIL,383,EAST 162 STREET,BRONX,10451,917-398-5547,59317,03/24/2024,Permitted,2 YEARS - 5 YEARS,90,DC26164,PRESCHOOL,GDC,Child Care - Pre School,2126620,hacfs.org,03/24/2014,Y,50.0000,21.9050,16,11.9769,25,6.1285,25,18.9541,05/25/2022,All staff with potential for unsupervised contact with children including volunteers have Not been cleared,GENERAL,47.19(a),CORRECTED,Monitoring Inspection Non-Routine - Reinspection Not Required
FABIANA DAY CARE ACADEMY INC.,FABIANA DAY CARE ACADEMY INC.,937,TELLER AVENUE,BRONX,10451,718-588-4545,73182,09/10/2024,Permitted,2 YEARS - 5 YEARS,24,DC24845,PRESCHOOL,GDC,Child Care - Pre School,2001966,,09/10/2014,Y,25.0000,21.9050,5,11.9769,0,6.1285,25,18.9541,09/28/2022,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,GENERAL,47.25(a)(1),CORRECTED,Initial Annual Inspection - Reinspection Not Required
FABIANA DAY CARE ACADEMY INC.,FABIANA DAY CARE ACADEMY INC.,937,TELLER AVENUE,BRONX,10451,718-588-4545,73182,09/10/2024,Permitted,2 YEARS - 5 YEARS,24,DC24845,PRESCHOOL,GDC,Child Care - Pre School,2001966,,09/10/2014,Y,25.0000,21.9050,5,11.9769,0,6.1285,25,18.9541,09/28/2022,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,GENERAL,47.25(a)(1),CORRECTED,Initial Annual Inspection - Reinspection Not Required
CAMP YOUNG JUDAEA SPROUT LAKE,Young Judaea Sprout Brooklyn Day Camp,556,Columbia Street,BROOKLYN,11231,917-595-1500,103652,09/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,881,DC34222,ALL AGE CAMP,Camp,Camp,3000000,www.sproutbrooklyn.org,06/30/2016,Y,0.0000,26.8868,0,1.0000,0,14.2558,0,21.8553,06/29/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
BEANSTALK CHILD CARE ACADEMY,"NYC EARLY LEARNING COMPANY, INC",950,WESTCHESTER AVENUE,BRONX,10459,718-991-5465,104871,06/13/2023,Permitted,0 YEARS - 2 YEARS,50,DC36660,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2114693,,06/13/2019,Y,80.0000,17.4391,69,8.4034,20,4.9984,80,15.3835,07/07/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,
FAMILY HEAD START,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,293,NEPTUNE AVENUE,BROOKLYN,11235,718-332-8524,5076,11/08/2024,Permitted,,180,DC184,PRESCHOOL,GDC,Child Care - Pre School,3196391,,11/08/2004,N,0.0000,21.9050,23,11.9769,0,6.1285,0,18.9541,10/26/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
Big and Tiny Vesey LLC,Big and Tiny Vesey LLC,300,VESEY STREET,MANHATTAN,10281,646-791-0024,105828,09/15/2024,Permitted,2 YEARS - 5 YEARS,27,DC40724,PRESCHOOL,GDC,Child Care - Pre School,1085502,www.bigandtiny.com,09/15/2022,Y,,,1,11.9769,,,,,,,,,,
RICHMOND UNIVERSITY MEDICAL CENTER,RICHMOND MEDICAL CENTER,100,Brighton  Avenue,STATEN ISLAND,10301,718-816-5168,104699,01/02/2023,Expired-In Renewal,2 YEARS - 5 YEARS,114,DC37469,PRESCHOOL,GDC,Child Care - Pre School,5106538,,01/02/2019,Y,16.6667,21.9050,11,11.9769,16.6667,6.1285,0,18.9541,04/07/2022,Sufficient trained staff Not provided; staff Not on site; training  unsatisfactory.,GENERAL,47.29(c)(2),CORRECTED,Initial Annual Inspection - Reinspection Not Required
"PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, INC. (PROMESA)","PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, INC. (PROMESA)",300,EAST 175TH STREET,BRONX,10457,347-649-3209,7380,04/15/2023,Expired-In Renewal,2 YEARS - 5 YEARS,119,DC12081,PRESCHOOL,GDC,Child Care - Pre School,2112731,acacia network,04/15/2005,N,60.0000,21.9050,14,11.9769,0,6.1285,60,18.9541,02/17/2023,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),CORRECTED,Initial Annual Inspection - Reinspection Not Required
"PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, INC. (PROMESA)","PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, INC. (PROMESA)",300,EAST 175TH STREET,BRONX,10457,347-649-3209,7380,04/15/2023,Expired-In Renewal,2 YEARS - 5 YEARS,119,DC12081,PRESCHOOL,GDC,Child Care - Pre School,2112731,acacia network,04/15/2005,N,60.0000,21.9050,14,11.9769,0,6.1285,60,18.9541,02/17/2023,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),CORRECTED,Initial Annual Inspection - Reinspection Not Required
"VOLUNTEERS OF AMERICA - GREATER NEW YORK, INC.",VOLUNTEERS OF AMERICA - GREATER NEW YORK INC.,1887,BATHGATE AVENUE,BRONX,10457,718-466-3580,7801,09/21/2023,Permitted,2 YEARS - 5 YEARS,275,DC15142,PRESCHOOL,GDC,Child Care - Pre School,2009578,voa-gny.org,09/21/2007,Y,75.0000,21.9050,58,11.9769,0,6.1285,75,18.9541,06/28/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"KIDZ WORLD EARLY CHILDHOOD CTR, INC","KIDZ WORLD EARLY CHILDHOOD CTR,INC",217-21,MERRICK BLVD.,QUEENS,11413,718-276-7649,21317,08/22/2024,Permitted,2 YEARS - 5 YEARS,148,DC22401,PRESCHOOL,GDC,Child Care - Pre School,4279204,www.kidzworlddaycare.com,08/22/2012,Y,0.0000,21.9050,13,11.9769,0,6.1285,0,18.9541,08/25/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
SHOLOM  SHOLOM  INC,SHOLOM SHOLOM INC.,84-15,BEVERLY ROAD,QUEENS,11415,718-850-2934,77937,12/19/2024,Permitted,0 YEARS - 2 YEARS,8,DC23194,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,4574091,,12/19/2014,Y,16.6667,17.4391,4,8.4034,16.6667,4.9984,16.6667,15.3835,05/26/2022,"Epi auto injector Not provided, Not maintained or expired.",CRITICAL,47.29(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
ALL MY CHILDREN DAY CARE,"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",110-15,164 PLACE,QUEENS,11433,718-526-5911,25917,10/22/2024,Permitted,2 YEARS - 5 YEARS,105,DC23264,PRESCHOOL,GDC,Child Care - Pre School,4216947,,10/22/2012,Y,50.0000,21.9050,8,11.9769,25,6.1285,25,18.9541,02/09/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
HAPPY LITTLE BEAR DAY CARE LLC,HAPPY LITTLE BEAR DAY CARE LLC,94-25,57TH AVE,QUEENS,11373,929-296-0087,104682,12/19/2024,Permitted,2 YEARS - 5 YEARS,29,DC37552,PRESCHOOL,GDC,Child Care - Pre School,4047077,,12/19/2018,Y,33.3333,21.9050,6,11.9769,16.6667,6.1285,33.3333,18.9541,03/05/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"OUR CHILDREN FIRST, INC","OUR CHILDREN FIRST, INC",1180,East 214 Street,BRONX,10469,347-913-4367,104771,03/29/2023,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC37765,PRESCHOOL,GDC,Child Care - Pre School,2059823,www.ocfnyc.com,03/29/2019,Y,80.0000,21.9050,14,11.9769,20,6.1285,60,18.9541,03/30/2022,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23(e),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
FIDELIS EARLY CHILDHOOD CENTER LLC,FIDELIS EARLY CHILDHOOD CENTER LLC,890,PROSPECT AVENUE,BRONX,10459,718-991-4570,103942,02/21/2025,Permitted,0 YEARS - 2 YEARS,28,DC32173,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2113129,,02/21/2017,Y,16.6667,17.4391,7,8.4034,0,4.9984,16.6667,15.3835,11/16/2022,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,CRITICAL,47.37(b)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
SUNFLOWER PLAYHOUSE,SUNFLOWER PLAYHOUSE CORP.,787A,WASHINGTON AVENUE,BROOKLYN,11238,718-623-2900,8230,01/03/2025,Permitted,2 YEARS - 5 YEARS,17,DC21004,PRESCHOOL,GDC,Child Care - Pre School,3029550,nataliesunflower.com,01/03/2011,Y,50.0000,21.9050,5,11.9769,16.6667,6.1285,33.3333,18.9541,05/20/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
QUEENS CENTER FOR PROGRESS,"UNITED CEREBRAL PALSY OF QUEENS, INC.",82-25,164 STREET,QUEENS,11432,718-374-0002,5085,05/02/2025,Permitted,2 YEARS - 5 YEARS,141,DC11009,PRESCHOOL,GDC,Child Care - Pre School,4152348,www.queenscp.org,09/01/1959,Y,0.0000,21.9050,56,11.9769,0,6.1285,0,18.9541,12/01/2020,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"ABC KIDDIELAND, INC","ABC KIDDIELAND, INC",65-21,ROOSEVELT AVE,QUEENS,11377,718-651-3551,7571,03/20/2024,Permitted,2 YEARS - 5 YEARS,56,DC10481,PRESCHOOL,GDC,Child Care - Pre School,4028089,,03/20/2006,N,20.0000,21.9050,5,11.9769,0,6.1285,20,18.9541,05/17/2021,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49(a),CORRECTED,Initial Annual Inspection - Reinspection Required
BBB DAYCARE INC.,BBB DAYCARE INC.,3844,FLATLANDS AVE,BROOKLYN,11234,347-587-7015,105159,05/19/2024,Permitted,2 YEARS - 5 YEARS,21,DC37179,PRESCHOOL,GDC,Child Care - Pre School,3219248,BBBDaycare.com,05/19/2020,Y,0.0000,21.9050,6,11.9769,0,6.1285,0,18.9541,05/05/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"SHIRA ASSOCIATION, INC.","SHIRA ASSOCIATION, INC.",1975,51ST STREET,BROOKLYN,11204,718-435-7700,6064,06/15/2024,Permitted,2 YEARS - 5 YEARS,69,DC10745,PRESCHOOL,GDC,Child Care - Pre School,3129528,,06/15/2004,N,33.3333,21.9050,9,11.9769,33.3333,6.1285,33.3333,18.9541,05/12/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
NEW LIFE CHILD DEVELOPMENT CENTER INC.,NEW LIFE CHILD DEVELOPMENT CENTER INC.,406,GROVE STREET,BROOKLYN,11237,718-381-8969,4774,11/01/2023,Permitted,2 YEARS - 5 YEARS,182,DC1846,PRESCHOOL,GDC,Child Care - Pre School,3397530,,11/09/1984,Y,20.0000,21.9050,38,11.9769,0,6.1285,20,18.9541,11/01/2022,Department is Notified in 24 hours of the death or serious injury of a child in childcare by permittee,PUBLIC HEALTH HAZARD,47.27(c)(2),OPEN,
LEARNING AND FUN LLC,LEARNING AND FUN LLC,215,EAST 6 STREET,MANHATTAN,10003,212-505-3695,103785,08/31/2024,Permitted,,28,DC33788,PRESCHOOL,GDC,Child Care - Pre School,1006643,www.learningandfundaycare.com,08/31/2016,Y,28.5714,21.9050,6,11.9769,14.2857,6.1285,28.5714,18.9541,11/15/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.","URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",301B,WEST 130 STREET,MANHATTAN,10027,212-694-0615,8104,11/17/2023,Permitted,2 YEARS - 5 YEARS,75,DC11994,PRESCHOOL,GDC,Child Care - Pre School,1084087,,11/17/2009,Y,20.0000,21.9050,12,11.9769,0,6.1285,20,18.9541,02/24/2023,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,CRITICAL,47.37(b)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"GIOCARE, LLC","GIOCARE, LLC",552,5 AVENUE,BROOKLYN,11215,347-827-1372,103610,04/28/2024,Permitted,2 YEARS - 5 YEARS,95,DC33878,PRESCHOOL,GDC,Child Care - Pre School,3023919,,04/28/2016,Y,50.0000,21.9050,20,11.9769,50,6.1285,0,18.9541,10/01/2021,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41(f),CORRECTED,Initial Annual Inspection - Reinspection Required
Modern Organization and Human Development Center,RAYMOND EDWARDS/MOHDC,533,BLAKE AVENUE,BROOKLYN,11207,718-485-8500,73020,09/05/2024,Permitted,2 YEARS - 5 YEARS,135,DC32454,PRESCHOOL,GDC,Child Care - Pre School,3084260,mohdcsmartstart.com,09/05/2014,Y,20.0000,21.9050,8,11.9769,20,6.1285,20,18.9541,03/13/2023,Required food protection procedures were Not implemented at time of inspection. Holder of food protection certificate was Not on site during hours of food preparation activity.,CRITICAL,47.61(a),OPEN,Initial Annual Inspection - Reinspection Required
"Camp 252, Inc.","Camp 252, Inc.",4616,LITTLE NECK PKWY,QUEENS,11362,718-490-8005,105396,09/15/2022,Expired-In Renewal,6 YEARS - 16 YEARS,0,DC40243,SCHOOL AGE CAMP,Camp,Camp,4170923,camp252.org,06/21/2021,Y,50.0000,26.8868,0,1.0000,50,14.2558,50,21.8553,08/10/2022,Adequate insurance coverage obtained prior to camping season; Includes workers compensation and disability comprehensive liability and motor vehicle insurance.,CRITICAL,48.21(a),OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
CREATIVE DISCOVERY PRE-SCHOOL,CREATIVE DISCOVERY PRE-SCHOOL INC,64-01,102 STREET,QUEENS,11374,917-502-0685,7293,10/01/2024,Permitted,2 YEARS - 5 YEARS,64,DC10993,PRESCHOOL,GDC,Child Care - Pre School,4051191,www.creativediscoverydaycare.com,10/01/2004,N,50.0000,21.9050,7,11.9769,16.6667,6.1285,50,18.9541,05/18/2022,Child Care program designates a certified group teacher as Education Director. Education Director can Not serve more than two programs operated by same legal entity  that are co-located.,CRITICAL,47.13(c),CORRECTED,Initial Annual Inspection - Reinspection Required; Program closed
CAMP MORAH SHIRA LLC,CAMP MORAH SHIRA LLC,76-01,147 Street,QUEENS,11367,718-662-6186,33933,09/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,546,DC24492,ALL AGE CAMP,Camp,Camp,4144493,,06/24/2013,N,66.6667,26.8868,0,1.0000,33.3333,14.2558,66.6667,21.8553,08/19/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
CHAI TOTS CAMP,THE RABBINICAL COMMITTEE OF BROWNSTONE,852,CLASSON AVE,BROOKLYN,11238,718-399-3979,105187,09/15/2023,Permitted,0 YEARS - 16 YEARS,26,DC39745,ALL AGE CAMP,Camp,Camp,3029648,,07/23/2020,Y,33.3333,26.8868,0,1.0000,0,14.2558,33.3333,21.8553,06/16/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
Eisman Day Nursery,SCAN-HARBOR INC.,1794,FIRST AVENUE,MANHATTAN,10128,212-876-9200,7907,09/06/2022,Expired-In Renewal,2 YEARS - 5 YEARS,60,DC18838,PRESCHOOL,GDC,Child Care - Pre School,1076333,www.scanny.org,09/05/2008,Y,66.6667,21.9050,6,11.9769,50,6.1285,50,18.9541,09/20/2022,Permittee conducted facility renovations and/or modified the terms of the permit without prior approval from DOHMH.,GENERAL,47.09(e),CORRECTED,Initial Annual Inspection - Reinspection Not Required
CYPRESS HILLS CHILD CARE CENTER CORPORATION,CYPRESS HILLS CHILD CARE CENTER CORPORATION,108,PINE STREET,BROOKLYN,11208,718-647-5005,6916,08/17/2023,Permitted,2 YEARS - 5 YEARS,74,DC10551,PRESCHOOL,GDC,Child Care - Pre School,3327214,cypresshillschildcare.org,07/11/2003,N,16.6667,21.9050,11,11.9769,0,6.1285,16.6667,18.9541,12/01/2020,There were no new violations observed at the time of this inspection/visit.,,,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"TINY BUMBLEBEES, INC.","TINY BUMBLEBEES, INC.",2848,BRIGHTON 7TH STREET,BROOKLYN,11235,718-975-3232,16617,05/16/2024,Permitted,2 YEARS - 5 YEARS,27,DC22438,PRESCHOOL,GDC,Child Care - Pre School,3392249,,05/16/2012,Y,16.6667,21.9050,8,11.9769,0,6.1285,16.6667,18.9541,02/11/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
KIDDIE ACADEMY OF LITTLE NECK,"KIDSZONE, INC.",252-20,NORTHERN BOULEVARD,QUEENS,11362,718-229-2829,7964,12/01/2024,Permitted,2 YEARS - 5 YEARS,139,DC17506,PRESCHOOL,GDC,Child Care - Pre School,4537295,,12/01/2008,Y,0.0000,21.9050,17,11.9769,0,6.1285,0,18.9541,11/04/2020,Adequate space/arrangement to provide separate storage areas for children's outer garments Not provided or maintained at time of inspection.,GENERAL,47.55(c),CORRECTED,Initial Annual Inspection - Reinspection Required
KIDDIE ACADEMY OF LITTLE NECK,"KIDSZONE, INC.",252-20,NORTHERN BOULEVARD,QUEENS,11362,718-229-2829,7964,12/01/2024,Permitted,2 YEARS - 5 YEARS,139,DC17506,PRESCHOOL,GDC,Child Care - Pre School,4537295,,12/01/2008,Y,0.0000,21.9050,17,11.9769,0,6.1285,0,18.9541,11/04/2020,Adequate space/arrangement to provide separate storage areas for children's outer garments Not provided or maintained at time of inspection.,GENERAL,47.55(c),CORRECTED,Initial Annual Inspection - Reinspection Required
KIDDIE ACADEMY OF LITTLE NECK,"KIDSZONE, INC.",252-20,NORTHERN BOULEVARD,QUEENS,11362,718-229-2829,7964,12/01/2024,Permitted,2 YEARS - 5 YEARS,139,DC17506,PRESCHOOL,GDC,Child Care - Pre School,4537295,,12/01/2008,Y,0.0000,21.9050,17,11.9769,0,6.1285,0,18.9541,11/04/2020,Adequate space/arrangement to provide separate storage areas for children's outer garments Not provided or maintained at time of inspection.,GENERAL,47.55(c),CORRECTED,Initial Annual Inspection - Reinspection Required
SAINT DOMINIC'S FAMILY SERVICES,SAINT DOMINIC'S FAMILY SERVICES,2340,ANDREWS AVENUE,BRONX,10468,718-365-7238,104590,09/07/2024,Permitted,2 YEARS - 5 YEARS,83,DC37409,PRESCHOOL,GDC,Child Care - Pre School,2094684,www.sdfs.org,09/07/2018,Y,16.6667,21.9050,22,11.9769,0,6.1285,16.6667,18.9541,03/17/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,"KINGSBRIDGE HEIGHTS COMMUNITY CENTER, INC.",295,WEST 231ST STREET,BRONX,10463,718-690-9466,51679,09/06/2023,Permitted,2 YEARS - 5 YEARS,120,DC22832,PRESCHOOL,GDC,Child Care - Pre School,2087522,www.khcc.org,09/06/2013,Y,,,14,11.9769,,,,,10/29/2021,Electrical/chemical/mechanical hazards observed at time of inspection.,PUBLIC HEALTH HAZARD,47.59(f),CORRECTED,
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,"KINGSBRIDGE HEIGHTS COMMUNITY CENTER, INC.",295,WEST 231ST STREET,BRONX,10463,718-690-9466,51679,09/06/2023,Permitted,2 YEARS - 5 YEARS,120,DC22832,PRESCHOOL,GDC,Child Care - Pre School,2087522,www.khcc.org,09/06/2013,Y,,,14,11.9769,,,,,10/29/2021,Electrical/chemical/mechanical hazards observed at time of inspection.,PUBLIC HEALTH HAZARD,47.59(f),CORRECTED,
HUAN-YU EDUCATION CENTER,"HUAN-YU EDUCATION CENTER, INC.",142-30,BARCLAY AVENUE,QUEENS,11355,917-834-9917,34243,09/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,250,DC23786,ALL AGE CAMP,Camp,Camp,4114657,,07/05/2013,N,100.0000,26.8868,0,1.0000,100,14.2558,100,21.8553,04/27/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,
"GKO GROUP, INC.","GKO GROUP, INC.",4020,EAST TREMONT AVENUE,BRONX,10465,718-239-5275,6790,08/31/2024,Permitted,2 YEARS - 5 YEARS,190,DC14269,PRESCHOOL,GDC,Child Care - Pre School,2000000,ivyprep.org,06/02/2004,N,,,26,11.9769,,,,,11/25/2020,There were no new violations observed at the time of this inspection/visit.,,,N/A,Monitoring Inspection Non-Routine - Passed inspection; Violations corrected at time of inspection
SIMCHE KINDER INC.,SIMCHE KINDER INC.,808,MYRTLE AVENUE,BROOKLYN,11206,718-596-3632,103789,09/01/2024,Permitted,2 YEARS - 5 YEARS,107,DC33719,PRESCHOOL,GDC,Child Care - Pre School,3399619,,09/01/2016,Y,25.0000,21.9050,18,11.9769,0,6.1285,25,18.9541,09/23/2020,At time of inspection child care service failed to produce written safety plan with emergency procedures. Safety plan Not maintained or incomplete.,CRITICAL,47.29(a),CORRECTED,Initial Annual Inspection - Reinspection Required
ST. FRANCIS OF ASSISI SCHOOL,CATHERINE CORRY EARLY CHILDHOOD ACADEMY,4321,BARNES AVENUE,BRONX,10466,718-231-0858,,06/09/2116,Active,3 YEARS - 5 YEARS,0,DC25184,PRESCHOOL,SBCC,School Based Child Care,2097444,,,,50.0000,45.1817,17,8.0094,0,23.3017,50,35.2291,04/25/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
ST. JEMUEL GROUP FAMILY DAY CARE INC,ST. JEMUEL GROUP FAMILY DAY CARE INC,2836,WEBB AVENUE,BRONX,10468,718-601-9753,45398,06/27/2023,Permitted,2 YEARS - 5 YEARS,58,DC21637,PRESCHOOL,GDC,Child Care - Pre School,2015414,www.saintjemueldaycare.org,06/27/2013,Y,25.0000,21.9050,8,11.9769,0,6.1285,25,18.9541,02/06/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
"LITTLE STARS THREE, INC","LITTLE STARS THREE, INC",1420,BURKE AVENUE,BRONX,10469,347-947-3171,105241,09/16/2024,Permitted,0 YEARS - 2 YEARS,16,DC36069,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2061698,www.littlestarspreshools.com,09/16/2020,Y,40.0000,17.4391,8,8.4034,0,4.9984,40,15.3835,03/09/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
KOCHAVIM,KOCHAVIM,1670,OCEAN AVENUE,BROOKLYN,11230,917-607-7356,,01/23/2115,Active,2 YEARS - 5 YEARS,0,DC22648,PRESCHOOL,SBCC,School Based Child Care,3180558,,,,100.0000,45.1817,4,8.0094,100,23.3017,100,35.2291,11/05/2021,Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR,GENERAL,43.07(b)(4),OPEN,Initial Annual Inspection - Reinspection Required
